date,product_id,quantity,unit_price
2026-01-25,P010,1,19.99
2026-01-25,P001,4,39.99
2026-01-25,P002,3,89.99
2026-01-26,P006,2,29.99
2026-01-26,P008,4,49.99
2026-01-26,P007,3,69.99
2026-01-27,P009,2,39.99
2026-01-27,P004,4,199.99
2026-01-27,P009,2,39.99
2026-01-28,P002,3,89.99
2026-01-28,P003,2,349.99
2026-01-29,P003,2,349.99
2026-01-30,P010,4,19.99
2026-01-30,P009,4,39.99
2026-01-30,P001,1,39.99
2026-01-30,P003,4,349.99
2026-01-31,P006,2,29.99
2026-01-31,P006,3,29.99
2026-01-31,P008,4,49.99
2026-01-31,P007,1,69.99
2026-02-01,P009,1,39.99
2026-02-02,P006,4,29.99
2026-02-02,P004,2,199.99
2026-02-02,P003,1,349.99
2026-02-03,P002,3,89.99
2026-02-03,P003,4,349.99
2026-02-03,P005,3,129.99
2026-02-03,P005,4,129.99
2026-02-04,P005,1,129.99
2026-02-04,P001,2,39.99
2026-02-04,P007,4,69.99
2026-02-05,P004,3,199.99
2026-02-05,P004,1,199.99
2026-02-05,P005,1,129.99
2026-02-05,P010,4,19.99
2026-02-06,P008,2,49.99
2026-02-06,P002,3,89.99
2026-02-07,P006,2,29.99
2026-02-07,P004,1,199.99
2026-02-07,P010,3,19.99
2026-02-07,P009,3,39.99
2026-02-08,P006,4,29.99
2026-02-08,P006,2,29.99
2026-02-08,P002,3,89.99
2026-02-09,P002,1,89.99
2026-02-09,P001,1,39.99
2026-02-10,P003,1,349.99
2026-02-11,P006,3,29.99
2026-02-11,P004,3,199.99
2026-02-12,P009,1,39.99
2026-02-12,P001,3,39.99
2026-02-13,P010,4,19.99
2026-02-13,P007,2,69.99
2026-02-14,P010,4,19.99
2026-02-14,P002,2,89.99
2026-02-14,P004,2,199.99
2026-02-15,P004,3,199.99
2026-02-15,P009,1,39.99
2026-02-16,P006,4,29.99
2026-02-17,P002,4,89.99
2026-02-17,P007,4,69.99
2026-02-17,P005,1,129.99
2026-02-17,P007,2,69.99
2026-02-18,P006,3,29.99
2026-02-18,P006,4,29.99
2026-02-18,P006,1,29.99
2026-02-19,P003,2,349.99
2026-02-19,P008,1,49.99
2026-02-20,P006,1,29.99
2026-02-20,P002,3,89.99
2026-02-20,P009,3,39.99
2026-02-20,P003,1,349.99
2026-02-21,P004,2,199.99
2026-02-22,P002,1,89.99
2026-02-22,P003,2,349.99
2026-02-22,P008,4,49.99
2026-02-23,P009,3,39.99
2026-02-23,P005,1,129.99
2026-02-24,P010,2,19.99
2026-02-24,P002,2,89.99
2026-02-25,P006,3,29.99
2026-02-25,P009,4,39.99
2026-02-26,P009,2,39.99
2026-02-26,P003,1,349.99
2026-02-26,P005,2,129.99
2026-02-27,P002,2,89.99
2026-02-28,P007,2,69.99
2026-03-01,P004,3,199.99
2026-03-01,P001,1,39.99
2026-03-01,P001,4,39.99
2026-03-01,P002,3,89.99
2026-03-02,P008,3,49.99
2026-03-02,P007,3,69.99
2026-03-02,P008,3,49.99
2026-03-02,P002,2,89.99
2026-03-03,P005,4,129.99
2026-03-03,P009,4,39.99
2026-03-04,P005,3,129.99
2026-03-04,P001,3,39.99
2026-03-04,P009,3,39.99
2026-03-05,P003,4,349.99
2026-03-05,P004,1,199.99
2026-03-06,P002,3,89.99
2026-03-07,P002,4,89.99
2026-03-08,P006,1,29.99
2026-03-08,P001,1,39.99
2026-03-08,P006,4,29.99
2026-03-08,P007,2,69.99
2026-03-09,P002,4,89.99
2026-03-09,P001,1,39.99
2026-03-10,P005,4,129.99
2026-03-10,P004,4,199.99
2026-03-10,P008,3,49.99
2026-03-11,P002,4,89.99
2026-03-11,P010,1,19.99
2026-03-11,P010,4,19.99
2026-03-12,P006,4,29.99
2026-03-13,P004,1,199.99
2026-03-13,P008,1,49.99
2026-03-13,P005,4,129.99
2026-03-14,P009,3,39.99
2026-03-14,P007,1,69.99
2026-03-14,P004,1,199.99
2026-03-14,P005,1,129.99
2026-03-15,P001,2,39.99
2026-03-16,P009,4,39.99
2026-03-16,P004,4,199.99
2026-03-16,P003,1,349.99
2026-03-17,P008,4,49.99
2026-03-17,P005,4,129.99
2026-03-18,P005,4,129.99
2026-03-18,P010,1,19.99
2026-03-18,P002,1,89.99
2026-03-18,P007,4,69.99
2026-03-19,P009,1,39.99
2026-03-19,P002,3,89.99
2026-03-19,P002,2,89.99
2026-03-19,P007,3,69.99
2026-03-20,P010,4,19.99
2026-03-20,P008,1,49.99
2026-03-21,P003,4,349.99
2026-03-22,P006,3,29.99
2026-03-23,P002,3,89.99
2026-03-24,P010,3,19.99
2026-03-25,P009,4,39.99
2026-03-25,P010,2,19.99
2026-03-26,P004,4,199.99
2026-03-27,P002,3,89.99
2026-03-27,P006,2,29.99
2026-03-27,P002,3,89.99
2026-03-28,P002,4,89.99
2026-03-28,P005,4,129.99
2026-03-29,P004,3,199.99
2026-03-30,P007,4,69.99
2026-03-31,P003,3,349.99
2026-03-31,P006,3,29.99
2026-03-31,P007,1,69.99
2026-04-01,P008,4,49.99
2026-04-01,P002,2,89.99
2026-04-02,P001,2,39.99
2026-04-03,P007,2,69.99
2026-04-03,P002,3,89.99
2026-04-03,P002,3,89.99
2026-04-04,P009,3,39.99
2026-04-05,P010,1,19.99
2026-04-05,P005,3,129.99
2026-04-05,P002,4,89.99
2026-04-05,P005,4,129.99
2026-04-06,P002,3,89.99
2026-04-06,P001,2,39.99
2026-04-06,P009,3,39.99
2026-04-06,P004,3,199.99
2026-04-07,P010,2,19.99
2026-04-07,P003,1,349.99
2026-04-08,P007,4,69.99
2026-04-08,P006,1,29.99
2026-04-08,P010,3,19.99
2026-04-08,P002,3,89.99
2026-04-09,P003,4,349.99
2026-04-09,P006,1,29.99
2026-04-09,P001,3,39.99
2026-04-09,P007,3,69.99
2026-04-10,P001,3,39.99
2026-04-11,P003,4,349.99
2026-04-11,P010,4,19.99
2026-04-12,P003,4,349.99
2026-04-12,P008,4,49.99
2026-04-12,P006,3,29.99
2026-04-13,P006,4,29.99
2026-04-13,P002,1,89.99
2026-04-13,P007,1,69.99
2026-04-13,P007,3,69.99
2026-04-14,P003,3,349.99
2026-04-14,P010,3,19.99
2026-04-14,P004,3,199.99
2026-04-15,P003,2,349.99
2026-04-15,P004,2,199.99
2026-04-15,P009,4,39.99
2026-04-16,P006,1,29.99
2026-04-17,P009,3,39.99
2026-04-17,P002,4,89.99
2026-04-17,P002,4,89.99
2026-04-18,P001,1,39.99
2026-04-19,P003,1,349.99
2026-04-19,P003,2,349.99
2026-04-19,P001,4,39.99
2026-04-20,P007,3,69.99
2026-04-20,P008,1,49.99
2026-04-20,P007,3,69.99
2026-04-21,P002,4,89.99
2026-04-21,P005,4,129.99
2026-04-22,P003,3,349.99
2026-04-22,P007,4,69.99
2026-04-22,P001,3,39.99
2026-04-23,P007,4,69.99
2026-04-23,P004,4,199.99
2026-04-24,P003,1,349.99
2026-04-24,P004,4,199.99
2026-04-25,P002,4,89.99
2026-04-25,P007,2,69.99
2026-04-26,P009,2,39.99
2026-04-26,P005,3,129.99
2026-04-26,P003,2,349.99
2026-04-27,P010,4,19.99
2026-04-28,P005,4,129.99
2026-04-28,P006,3,29.99
2026-04-29,P003,3,349.99
2026-04-29,P006,1,29.99
2026-04-30,P010,4,19.99
2026-04-30,P006,3,29.99
2026-05-01,P001,2,39.99
2026-05-02,P004,3,199.99
2026-05-02,P003,3,349.99
2026-05-02,P005,2,129.99
2026-05-02,P004,2,199.99
2026-05-03,P004,4,199.99
2026-05-03,P001,4,39.99
2026-05-03,P005,2,129.99
2026-05-04,P003,2,349.99
2026-05-04,P001,3,39.99
2026-05-05,P008,4,49.99
2026-05-05,P003,1,349.99
2026-05-05,P005,4,129.99
2026-05-06,P007,4,69.99
2026-05-06,P002,1,89.99
2026-05-07,P005,3,129.99
2026-05-07,P002,4,89.99
2026-05-08,P010,4,19.99
2026-05-09,P007,3,69.99
2026-05-09,P002,3,89.99
2026-05-09,P002,2,89.99
2026-05-09,P007,2,69.99
2026-05-10,P002,1,89.99
2026-05-10,P001,1,39.99
2026-05-11,P010,1,19.99
2026-05-11,P003,4,349.99
2026-05-11,P007,3,69.99
2026-05-12,P005,4,129.99
2026-05-12,P003,1,349.99
2026-05-12,P001,2,39.99
2026-05-12,P008,3,49.99
2026-05-13,P005,4,129.99
2026-05-13,P010,3,19.99
2026-05-13,P006,3,29.99
2026-05-14,P005,2,129.99
2026-05-14,P005,1,129.99
2026-05-14,P003,2,349.99
2026-05-14,P010,2,19.99
2026-05-15,P006,1,29.99
2026-05-15,P005,1,129.99
2026-05-15,P009,1,39.99
2026-05-16,P008,2,49.99
2026-05-16,P002,4,89.99
2026-05-16,P004,3,199.99
2026-05-17,P003,3,349.99
2026-05-18,P003,3,349.99
2026-05-18,P010,3,19.99
2026-05-18,P009,2,39.99
2026-05-19,P003,2,349.99
2026-05-20,P010,2,19.99
2026-05-21,P001,2,39.99
2026-05-21,P009,1,39.99
2026-05-22,P006,3,29.99
2026-05-23,P003,4,349.99
2026-05-23,P003,3,349.99
2026-05-24,P006,2,29.99
2026-05-24,P002,3,89.99
2026-05-24,P005,3,129.99
2026-05-25,P007,4,69.99
2026-05-25,P003,1,349.99
2026-05-25,P009,2,39.99
2026-05-26,P010,4,19.99
2026-05-26,P002,1,89.99
2026-05-26,P007,2,69.99
2026-05-27,P007,4,69.99
2026-05-28,P009,2,39.99
2026-05-28,P008,3,49.99
2026-05-28,P005,3,129.99
2026-05-28,P009,1,39.99
2026-05-29,P004,4,199.99
2026-05-30,P004,2,199.99
2026-05-31,P006,1,29.99
2026-05-31,P006,3,29.99
2026-05-31,P001,1,39.99
2026-06-01,P002,2,89.99
2026-06-01,P002,3,89.99
2026-06-01,P010,4,19.99
2026-06-01,P008,3,49.99
2026-06-02,P002,1,89.99
2026-06-02,P010,2,19.99
2026-06-02,P008,2,49.99
2026-06-03,P007,1,69.99
2026-06-03,P010,2,19.99
2026-06-03,P007,3,69.99
2026-06-04,P010,4,19.99
2026-06-04,P001,1,39.99
2026-06-04,P008,2,49.99
2026-06-04,P005,1,129.99
2026-06-05,P006,1,29.99
2026-06-05,P008,2,49.99
2026-06-06,P004,2,199.99
2026-06-07,P007,2,69.99
2026-06-07,P003,2,349.99
2026-06-07,P004,3,199.99
2026-06-08,P001,4,39.99
2026-06-08,P002,4,89.99
2026-06-08,P010,4,19.99
2026-06-09,P001,1,39.99
2026-06-09,P003,4,349.99
2026-06-10,P004,4,199.99
2026-06-11,P010,4,19.99
2026-06-11,P006,2,29.99
2026-06-11,P004,2,199.99
2026-06-12,P002,3,89.99
2026-06-12,P009,2,39.99
2026-06-12,P009,3,39.99
2026-06-13,P007,3,69.99
2026-06-14,P004,3,199.99
2026-06-14,P008,3,49.99
2026-06-15,P002,3,89.99
2026-06-15,P003,4,349.99
2026-06-15,P006,4,29.99
2026-06-16,P009,3,39.99
2026-06-16,P002,2,89.99
2026-06-16,P001,2,39.99
2026-06-17,P001,3,39.99
2026-06-18,P007,3,69.99
2026-06-18,P004,2,199.99
2026-06-18,P002,3,89.99
2026-06-19,P002,3,89.99
2026-06-20,P002,4,89.99
2026-06-20,P002,1,89.99
2026-06-20,P009,4,39.99
2026-06-20,P003,4,349.99
2026-06-21,P006,4,29.99
2026-06-22,P001,3,39.99
2026-06-22,P007,2,69.99
2026-06-22,P001,4,39.99
2026-06-23,P009,1,39.99
2026-06-23,P008,4,49.99
2026-06-23,P009,3,39.99
2026-06-23,P004,2,199.99
2026-06-24,P010,3,19.99
2026-06-25,P002,4,89.99
2026-06-25,P004,3,199.99
2026-06-25,P007,1,69.99
2026-06-25,P009,1,39.99
2026-06-26,P008,4,49.99
2026-06-26,P002,3,89.99
2026-06-26,P003,4,349.99
2026-06-26,P009,1,39.99
2026-06-27,P010,4,19.99
2026-06-28,P004,1,199.99
2026-06-28,P010,4,19.99
2026-06-28,P007,2,69.99
2026-06-29,P009,2,39.99
2026-06-30,P010,4,19.99
2026-06-30,P004,3,199.99
2026-06-30,P009,1,39.99
